m;eps;upper_bound;sum_of_unique_elements;DF_exp_sketch_sum;DF_exp_sketch_diff;Exp_sketch;Exp_sketch_diff
2; 0.05; 10000; 5.0033e+08; 2.12537e+08; 57.5207; 2.12732e+08; 57.4818
2; 0.05; 10000; 5.00505e+08; 1.63611e+08; 67.3109; 1.63806e+08; 67.2719
2; 0.05; 10000; 5.00425e+08; 1.90891e+08; 61.8543; 1.91086e+08; 61.8153
2; 0.05; 10000; 4.97647e+08; 3.5933e+08; 27.7943; 3.59525e+08; 27.7551
2; 0.05; 10000; 4.9952e+08; 3.58136e+08; 28.304; 3.58331e+08; 28.265
2; 0.05; 10000; 5.00446e+08; 2.94234e+08; 41.2056; 2.94429e+08; 41.1666
2; 0.05; 10000; 5.01184e+08; 1.88882e+08; 62.3128; 1.89077e+08; 62.2739
2; 0.05; 10000; 5.00095e+08; 1.741e+08; 65.1866; 1.74295e+08; 65.1476
2; 0.05; 10000; 4.99339e+08; 2.27525e+08; 54.4346; 2.2772e+08; 54.3956
2; 0.05; 10000; 5.01297e+08; 1.83364e+08; 63.4221; 1.83559e+08; 63.3832
2; 0.05; 10000; 4.99782e+08; 3.49989e+08; 29.9717; 3.50184e+08; 29.9327
2; 0.05; 10000; 5.01065e+08; 1.78612e+08; 64.3534; 1.78808e+08; 64.3145
2; 0.05; 10000; 4.99393e+08; 1.98976e+08; 60.1563; 1.99171e+08; 60.1172
2; 0.05; 10000; 5.0025e+08; 1.86553e+08; 62.7081; 1.86748e+08; 62.6691
2; 0.05; 10000; 5.01776e+08; 2.39204e+08; 52.3285; 2.39399e+08; 52.2897
2; 0.05; 10000; 5.00044e+08; 2.68329e+08; 46.3389; 2.68524e+08; 46.2999
2; 0.05; 10000; 5.01869e+08; 2.17215e+08; 56.7187; 2.1741e+08; 56.6799
2; 0.05; 10000; 5.00213e+08; 1.36403e+08; 72.731; 1.36598e+08; 72.692
2; 0.05; 10000; 5.00848e+08; 2.19885e+08; 56.0974; 2.2008e+08; 56.0585
2; 0.05; 10000; 5.00575e+08; 1.87359e+08; 62.5712; 1.87554e+08; 62.5323
2; 0.05; 10000; 5.01185e+08; 1.56913e+08; 68.6917; 1.57108e+08; 68.6528
2; 0.05; 10000; 4.99804e+08; 1.61297e+08; 67.7279; 1.61492e+08; 67.6889
2; 0.05; 10000; 5.00756e+08; 2.86855e+08; 42.7155; 2.8705e+08; 42.6766
2; 0.05; 10000; 5.0104e+08; 1.81049e+08; 63.8653; 1.81244e+08; 63.8264
2; 0.05; 10000; 5.01016e+08; 2.4687e+08; 50.7262; 2.47065e+08; 50.6873
2; 0.05; 10000; 4.99695e+08; 2.94077e+08; 41.1486; 2.94272e+08; 41.1096
2; 0.05; 10000; 5.0096e+08; 3.16285e+08; 36.8642; 3.1648e+08; 36.8253
2; 0.05; 10000; 5.00251e+08; 1.88223e+08; 62.3742; 1.88418e+08; 62.3352
2; 0.05; 10000; 5.00425e+08; 2.80257e+08; 43.9963; 2.80452e+08; 43.9573
2; 0.05; 10000; 4.99112e+08; 3.22237e+08; 35.438; 3.22432e+08; 35.3989
2; 0.05; 10000; 5.00639e+08; 1.99414e+08; 60.168; 1.99609e+08; 60.1291
2; 0.05; 10000; 5.00459e+08; 2.20658e+08; 55.9088; 2.20854e+08; 55.8698
2; 0.05; 10000; 4.99894e+08; 2.71121e+08; 45.7642; 2.71316e+08; 45.7252
2; 0.05; 10000; 5.00094e+08; 2.61373e+08; 47.7352; 2.61568e+08; 47.6962
2; 0.05; 10000; 4.99437e+08; 1.69114e+08; 66.1391; 1.69309e+08; 66.1001
2; 0.05; 10000; 5.01692e+08; 2.63673e+08; 47.4433; 2.63868e+08; 47.4044
2; 0.05; 10000; 4.98705e+08; 3.14245e+08; 36.9878; 3.1444e+08; 36.9487
2; 0.05; 10000; 4.98641e+08; 3.09644e+08; 37.9024; 3.09839e+08; 37.8633
2; 0.05; 10000; 4.9975e+08; 1.89257e+08; 62.1296; 1.89452e+08; 62.0906
2; 0.05; 10000; 5.01891e+08; 3.1101e+08; 38.0323; 3.11205e+08; 37.9935
2; 0.05; 10000; 4.99611e+08; 2.03e+08; 59.3684; 2.03195e+08; 59.3293
2; 0.05; 10000; 4.99165e+08; 3.21489e+08; 35.5946; 3.21684e+08; 35.5555
2; 0.05; 10000; 5.0015e+08; 1.80322e+08; 63.9465; 1.80517e+08; 63.9075
2; 0.05; 10000; 5.00006e+08; 2.34514e+08; 53.0978; 2.34709e+08; 53.0588
2; 0.05; 10000; 5.00985e+08; 2.11636e+08; 57.756; 2.11831e+08; 57.7171
2; 0.05; 10000; 4.99232e+08; 1.84977e+08; 62.9477; 1.85172e+08; 62.9086
2; 0.05; 10000; 4.99492e+08; 2.40486e+08; 51.8539; 2.40681e+08; 51.8149
2; 0.05; 10000; 5.01458e+08; 1.37697e+08; 72.5407; 1.37892e+08; 72.5019
2; 0.05; 10000; 4.98973e+08; 2.09851e+08; 57.9434; 2.10046e+08; 57.9043
